,Calling-Number,Called-Number,PostDialDelay,Disconnect-Cause,Sip-Status,Session-Disposition,Calling-RTP-Packets-Lost,Called-RTP-Packets-Lost,Calling-RTP-Avg-Jitter,Called-RTP-Avg-Jitter,Calling-R-Factor,Called-R-Factor,Calling-MOS,Called-MOS,Ingress-SBC,Egress-SBC,Originating-Trunk-Group,Terminating-Trunk-Group
25,+589209668548,+806152035232,73,0,0,answered,0.0,0.0,0.0,0.0,9284.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
26,+399545018765,+806152035232,299,0,0,answered,4.0,0.0,2.0,0.0,9284.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
27,+415785436584,+806152035232,90,0,0,answered,0.0,0.0,0.0,0.0,9288.0,9288.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
28,margaret.wilson,+41066927939,85,16,487,ringing,,,,,,,,,Fran-Site,Fran-Site,eu-trunk,TG8
29,+122406600397,cornell.wages,284,31,487,ringing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fran-Site,Lon-Site,TG8,es-trunk
30,margaret.wilson,+82453972380,108,16,487,ringing,,,,,,,,,Fran-Site,Fran-Site,eu-trunk,TG8
31,+122406600397,eugene.richardson,304,31,487,ringing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fran-Site,Lon-Site,TG8,es-trunk
32,margaret.wilson,+59795561318,86,16,487,ringing,,,,,,,,,Fran-Site,Fran-Site,eu-trunk,TG8
33,+122406600397,micheal.schultz,284,31,487,ringing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fran-Site,Lon-Site,TG8,es-trunk
34,margaret.wilson,+80934742182,92,16,487,ringing,,,,,,,,,Fran-Site,Fran-Site,eu-trunk,TG8
35,ellen.higgins,claudia.ben,328,0,0,answered,0.0,0.0,0.0,9.0,9284.0,9277.0,440.0,440.0,Mia-Site,Mia-Site,TG0,TG0
36,marjorie.koshiol,lisa.swift,320,0,0,answered,0.0,0.0,0.0,10.0,9284.0,9277.0,440.0,440.0,Mia-Site,Mia-Site,us-trunk,TG0
37,margaret.wilson,+42021325880,86,16,487,ringing,,,,,,,,,Fran-Site,Fran-Site,eu-trunk,TG8
38,+122406600397,jeannie.vasquez,305,31,487,ringing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fran-Site,Lon-Site,TG8,es-trunk
39,sandy.shipley,stephen.lehmann,113,0,0,answered,0.0,0.0,0.0,0.0,5418.0,9288.0,279.0,440.0,Lon-Site,Lon-Site,TG0,TG0
40,natasha.dunn,stephen.lehmann,109,0,0,answered,1.0,32.0,1.0,0.0,5418.0,9284.0,279.0,440.0,Lon-Site,Lon-Site,TG0,TG0
41,sandy.shipley,stephen.lehmann,390,0,0,answered,0.0,0.0,0.0,0.0,5418.0,9288.0,279.0,440.0,Lon-Site,Lon-Site,TG0,TG0
42,+30563878389,+12941199919,106,0,0,answered,0.0,0.0,0.0,0.0,9288.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
43,frankie.smith,stephen.lehmann,89,0,0,answered,11.0,0.0,0.0,0.0,6189.0,9288.0,319.0,440.0,Lon-Site,Lon-Site,TG5,TG0
44,patricia.fowler,stephen.lehmann,309,0,0,answered,37.0,0.0,4.0,0.0,5424.0,9284.0,279.0,440.0,Lon-Site,Lon-Site,TG0,TG0
45,james.belinsky,stephen.lehmann,115,0,0,answered,3.0,1.0,3.0,0.0,5418.0,9284.0,279.0,440.0,Lon-Site,Lon-Site,TG0,TG0
46,+17333955566,+25191896565,94,0,0,answered,0.0,0.0,0.0,0.0,9288.0,9288.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
47,alan.cheney,stephen.lehmann,326,0,0,answered,0.0,0.0,1.0,0.0,9284.0,9288.0,440.0,440.0,Lon-Site,Lon-Site,TG4,TG0
48,alan.cheney,stephen.lehmann,332,0,0,answered,0.0,0.0,2.0,0.0,9284.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,TG4,TG0
49,joyce.copher,donald.conyers,0,1,404,call-attempt,,,,,,,,,Mia-Site,Lon-Site,TG4,es-trunk
50,joyce.copher,donald.conyers,0,1,404,call-attempt,,,,,,,,,WaDC-Site,Lon-Site,TG4,es-trunk
51,joyce.copher,george.moore,0,1,404,call-attempt,,,,,,,,,Mia-Site,Lon-Site,TG4,es-trunk
52,joyce.copher,george.moore,0,1,404,call-attempt,,,,,,,,,WaDC-Site,Lon-Site,TG4,es-trunk
53,estelle.chason,stephen.lehmann,281,0,0,answered,21.0,4.0,4.0,0.0,5424.0,9284.0,279.0,440.0,Fran-Site,Lon-Site,TG0,TG0
54,dawn.maynard,stephen.lehmann,424,0,0,answered,2.0,0.0,0.0,1.0,9288.0,9284.0,440.0,440.0,Fran-Site,Lon-Site,TG5,TG0
55,+604987338287,+80737792068,82,0,0,answered,1.0,0.0,0.0,0.0,9288.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
56,+50961204550,+16922643010,76,0,0,answered,0.0,0.0,0.0,0.0,9288.0,9288.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
57,edward.best,preston.villarreal,0,19,480,call-attempt,,,,,,,,,Fran-Site,Fran-Site,TG5,TG5
58,edward.best,preston.villarreal,0,16,487,call-attempt,,,,,,,,,Lon-Site,Fran-Site,TG5,TG5
59,+97151706852,+70445686920,77,0,0,answered,0.0,0.0,2.0,0.0,9249.0,9282.0,439.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
60,+6267209785,+896182700677,84,0,0,answered,0.0,0.0,186.0,0.0,9166.0,9284.0,437.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
61,+19203903797,+28360440881,82,0,0,answered,0.0,0.0,0.0,0.0,9288.0,9288.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
62,+6267209785,+896182700677,85,0,0,answered,0.0,0.0,133.0,0.0,9192.0,9288.0,438.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
63,+6267209785,+896182700677,79,0,0,answered,0.0,0.0,108.0,0.0,9209.0,9284.0,438.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
64,+999601085614,+589573787442,77,0,0,answered,0.0,0.0,3.0,0.0,9284.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
65,+46426504945,+116094999470,148,0,0,answered,0.0,0.0,0.0,0.0,9284.0,5974.0,440.0,308.0,Lon-Site,Lon-Site,TG0,TG7
66,wilma.kelleher,stephen.lehmann,250,0,0,answered,0.0,0.0,0.0,0.0,9284.0,9284.0,440.0,440.0,Fran-Site,Lon-Site,TG5,TG0
67,shirley.barcellos,stephen.lehmann,236,0,0,answered,3.0,1.0,0.0,0.0,9284.0,9284.0,440.0,440.0,Fran-Site,Lon-Site,TG5,TG0
68,richard.hays,+537529463811,58,0,0,answered,0.0,0.0,0.0,0.0,8262.0,4437.0,411.0,228.0,Lon-Site,Lon-Site,pt-trunk,TG0
69,+51766106834452,+757949829277,75,0,0,answered,0.0,0.0,3978.0,0.0,4903.0,9288.0,252.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
70,margaret.wilson,+47210683958,84,16,487,ringing,,,,,,,,,Fran-Site,Fran-Site,eu-trunk,TG8
71,+122406600397,james.hang,345,31,487,ringing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fran-Site,Lon-Site,TG8,es-trunk
72,julie.pritchard,stephen.lehmann,349,0,0,answered,0.0,0.0,16.0,0.0,3843.0,9288.0,198.0,440.0,Lon-Site,Lon-Site,TG0,TG0
73,julie.pritchard,stephen.lehmann,422,0,0,answered,0.0,0.0,5.0,0.0,5430.0,9288.0,280.0,440.0,Lon-Site,Lon-Site,TG0,TG0
74,+89722131945,+12941199919,339,0,0,answered,0.0,1.0,0.0,0.0,9288.0,9288.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
75,raymond.ganison,+537529463811,55,16,487,ringing,,,,,,,,,Lon-Site,Lon-Site,pt-trunk,TG0
76,herbert.holmes,stephen.lehmann,428,0,0,answered,1.0,0.0,0.0,0.0,9281.0,9284.0,440.0,440.0,Fran-Site,Lon-Site,TG5,TG0
77,eric.hunter,stephen.lehmann,192,0,0,answered,0.0,0.0,0.0,0.0,9284.0,9284.0,440.0,440.0,Fran-Site,Lon-Site,TG5,TG0
78,janna.brown,stephen.lehmann,208,0,0,answered,0.0,0.0,14.0,0.0,5492.0,9284.0,283.0,440.0,Lon-Site,Lon-Site,TG0,TG0
79,jewell.daniels,stephen.lehmann,173,0,0,answered,0.0,0.0,3.0,1.0,9274.0,9292.0,440.0,440.0,Fran-Site,Lon-Site,TG5,TG0
80,jewell.daniels,stephen.lehmann,196,0,0,answered,0.0,0.0,1.0,2.0,9284.0,9288.0,440.0,440.0,Fran-Site,Lon-Site,TG5,TG0
81,charles.partin,stephen.lehmann,206,0,0,answered,0.0,0.0,0.0,0.0,9277.0,9281.0,440.0,440.0,Fran-Site,Lon-Site,TG5,TG0
82,jewell.daniels,stephen.lehmann,220,0,0,answered,0.0,0.0,0.0,0.0,9288.0,9288.0,440.0,440.0,Fran-Site,Lon-Site,TG5,TG0
83,jewell.daniels,stephen.lehmann,214,0,0,answered,0.0,0.0,0.0,0.0,9284.0,9284.0,440.0,440.0,Fran-Site,Lon-Site,TG5,TG0
84,jewell.daniels,stephen.lehmann,198,0,0,answered,0.0,0.0,2.0,0.0,9284.0,9284.0,440.0,440.0,Fran-Site,Lon-Site,TG5,TG0
85,jewell.daniels,stephen.lehmann,209,0,0,answered,0.0,0.0,0.0,0.0,9320.0,9262.0,440.0,439.0,Fran-Site,Lon-Site,TG5,TG0
86,jewell.daniels,stephen.lehmann,479,0,0,answered,0.0,0.0,0.0,0.0,9281.0,9284.0,440.0,440.0,Fran-Site,Lon-Site,TG5,TG0
87,jewell.daniels,stephen.lehmann,371,0,0,answered,0.0,0.0,0.0,0.0,9284.0,9284.0,440.0,440.0,Fran-Site,Lon-Site,TG5,TG0
88,edward.best,stephen.lehmann,200,0,0,answered,0.0,0.0,0.0,2.0,9281.0,9284.0,440.0,440.0,Fran-Site,Lon-Site,TG5,TG0
89,+15296460329,+69924717792,77,0,0,answered,0.0,0.0,1.0,0.0,9288.0,9295.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
90,tom.harris,stephen.lehmann,185,0,0,answered,0.0,0.0,0.0,0.0,9284.0,9284.0,440.0,440.0,Mia-Site,Lon-Site,TG4,TG0
91,dale.levitz,stephen.lehmann,240,0,0,answered,0.0,0.0,0.0,0.0,9277.0,9284.0,440.0,440.0,Fran-Site,Lon-Site,TG5,TG0
92,leo.gay,stephen.lehmann,229,0,0,answered,0.0,0.0,0.0,0.0,9277.0,9281.0,440.0,440.0,Fran-Site,Lon-Site,TG5,TG0
93,michael.garcia,stephen.lehmann,491,0,0,answered,0.0,0.0,0.0,0.0,9284.0,9288.0,440.0,440.0,Fran-Site,Lon-Site,TG5,TG0
94,dale.levitz,stephen.lehmann,224,0,0,answered,0.0,0.0,0.0,0.0,9284.0,9284.0,440.0,440.0,Fran-Site,Lon-Site,TG5,TG0
95,+86568541960,+99617961076,110,0,0,answered,1.0,0.0,0.0,0.0,9288.0,9288.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
96,+29611835065,+99617961076,78,0,0,answered,0.0,0.0,1.0,0.0,9288.0,9288.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
97,elizabeth.jones,stephen.lehmann,221,0,0,answered,0.0,0.0,0.0,0.0,9320.0,9320.0,440.0,440.0,Fran-Site,Lon-Site,TG5,TG0
98,elizabeth.jones,stephen.lehmann,188,0,0,answered,0.0,0.0,0.0,0.0,9320.0,9320.0,440.0,440.0,Fran-Site,Lon-Site,TG5,TG0
99,elizabeth.jones,stephen.lehmann,0,16,487,call-attempt,,,,,,,,,Fran-Site,Lon-Site,TG5,TG0
100,elizabeth.jones,stephen.lehmann,238,0,0,answered,0.0,0.0,0.0,0.0,9284.0,9288.0,440.0,440.0,Fran-Site,Lon-Site,TG5,TG0
101,wilma.kelleher,stephen.lehmann,449,0,0,answered,0.0,0.0,0.0,0.0,9284.0,9288.0,440.0,440.0,Fran-Site,Lon-Site,TG5,TG0
102,wilma.kelleher,stephen.lehmann,234,0,0,answered,0.0,0.0,0.0,0.0,9281.0,9284.0,440.0,440.0,Fran-Site,Lon-Site,TG5,TG0
103,patricia.holman,ken.bounds,5512,0,0,answered,0.0,1.0,0.0,0.0,9284.0,6479.0,440.0,332.0,Lon-Site,Lon-Site,TG7,TG0
104,+50493537297,+99617961076,363,0,0,answered,0.0,1.0,0.0,0.0,9284.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
105,+86568541960,+99617961076,73,0,0,answered,0.0,1.0,0.0,0.0,9284.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
106,erick.handy,stephen.lehmann,234,0,0,answered,37.0,14.0,4.0,0.0,5424.0,9284.0,279.0,440.0,Lon-Site,Lon-Site,TG0,TG0
107,estelle.chason,stephen.lehmann,190,0,0,answered,7.0,5.0,5.0,1.0,5418.0,9284.0,279.0,440.0,Lon-Site,Lon-Site,TG0,TG0
108,patricia.holman,dennis.kyle,132,0,0,answered,20.0,45.0,0.0,0.0,9283.0,6252.0,438.0,313.0,Lon-Site,Lon-Site,TG7,TG0
109,+30040814746,+99901249483,108,0,0,answered,0.0,0.0,0.0,0.0,9288.0,9288.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
110,patricia.holman,ken.bounds,5535,0,0,answered,0.0,0.0,0.0,0.0,9288.0,6356.0,440.0,326.0,Lon-Site,Lon-Site,TG7,TG0
111,david.jones,maria.langdon,0,19,480,call-attempt,,,,,,,,,Fran-Site,Lon-Site,TG6,TG0
112,david.jones,maria.langdon,0,19,480,call-attempt,,,,,,,,,Lon-Site,Lon-Site,TG6,TG0
113,patricia.holman,dennis.kyle,2,0,0,answered,21.0,8.0,0.0,0.0,9181.0,9190.0,426.0,431.0,Lon-Site,Lon-Site,TG7,TG0
114,patricia.holman,dennis.kyle,120,0,0,answered,0.0,0.0,0.0,0.0,9284.0,6359.0,440.0,328.0,Lon-Site,Lon-Site,TG7,TG0
115,+92711248663,+12941199919,83,0,0,answered,0.0,0.0,0.0,0.0,9288.0,9288.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
116,stephen.hooker,stephen.lehmann,175,0,0,answered,0.0,0.0,4.0,0.0,3161.0,9284.0,167.0,440.0,Lon-Site,Lon-Site,TG0,TG0
117,+52058461628,+99617961076,112,0,0,answered,1.0,0.0,0.0,0.0,9288.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
118,william.criner,stephen.lehmann,340,0,0,answered,0.0,0.0,1.0,1.0,9284.0,9288.0,440.0,440.0,Fran-Site,Lon-Site,TG6,TG0
119,+92711248663,+12941199919,77,0,0,answered,0.0,27.0,0.0,0.0,9230.0,9284.0,439.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
120,+59076410842,+69924717792,106,0,0,answered,1.0,0.0,0.0,0.0,9284.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
121,keith.santiago,deborah.fuqua,2249,0,0,answered,0.0,0.0,0.0,0.0,9271.0,9284.0,439.0,440.0,Lon-Site,Fran-Site,TG4,TG4
122,keith.santiago,deborah.fuqua,2277,0,0,answered,0.0,0.0,0.0,0.0,9170.0,9281.0,437.0,440.0,Lon-Site,Fran-Site,TG4,TG4
123,keith.santiago,deborah.fuqua,2571,0,0,answered,0.0,4.0,0.0,0.0,9281.0,9284.0,440.0,440.0,Lon-Site,Fran-Site,TG4,TG4
124,+92711248663,+12941199919,208,0,0,answered,0.0,0.0,1.0,0.0,9288.0,9288.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
125,+92711248663,+12941199919,77,0,0,answered,0.0,0.0,0.0,0.0,9320.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
126,thomas.richards,stephen.lehmann,87,0,0,answered,0.0,0.0,12.0,0.0,8225.0,8265.0,410.0,412.0,Lon-Site,Lon-Site,TG0,TG0
127,+999601085614,+589573787442,111,0,0,answered,0.0,0.0,0.0,0.0,9284.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
128,+589209668548,+806152035232,85,0,0,answered,0.0,0.0,0.0,0.0,9284.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
129,+79076047381,+99617961076,175,0,0,answered,0.0,0.0,0.0,0.0,9288.0,9288.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
130,peggy.wilson,dennis.kyle,204,0,0,answered,0.0,0.0,0.0,0.0,9320.0,9292.0,440.0,440.0,Fran-Site,Lon-Site,TG2,TG0
131,ariana.gonzales,stephen.lehmann,176,0,0,answered,2.0,0.0,23.0,0.0,5418.0,9288.0,279.0,440.0,Lon-Site,Lon-Site,TG0,TG0
132,+19203903797,+28360440881,324,0,0,answered,1.0,0.0,0.0,0.0,9284.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
133,+46253260460,+79538260992,270,0,0,answered,1.0,0.0,0.0,1.0,9284.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
134,+30563878389,+12941199919,80,0,0,answered,0.0,0.0,0.0,0.0,9284.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
135,+43991829313,+99617961076,331,0,0,answered,0.0,0.0,1.0,0.0,9284.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
136,+589453327471,+81697156356,102,0,0,answered,0.0,0.0,0.0,0.0,9281.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
137,+26118657448,+12941199919,100,0,0,answered,0.0,1.0,0.0,0.0,9288.0,9288.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
138,+502742455496,+116094999470,159,16,0,answered,1.0,0.0,0.0,0.0,9288.0,6172.0,440.0,318.0,Lon-Site,Lon-Site,TG0,TG7
139,arthur.davis,dennis.kyle,263,0,0,answered,7.0,0.0,0.0,0.0,8262.0,8261.0,411.0,410.0,Fran-Site,Lon-Site,TG6,TG0
140,+86568541960,+99617961076,78,0,0,answered,0.0,0.0,1.0,0.0,9284.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
141,+206817258373,stephen.lehmann,108,0,0,answered,0.0,0.0,0.0,0.0,9170.0,9288.0,437.0,440.0,Fran-Site,Lon-Site,TG7,TG0
142,+89722131945,+12941199919,335,0,0,answered,0.0,0.0,0.0,0.0,9284.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
143,+86568541960,+99617961076,109,0,0,answered,1.0,0.0,0.0,0.0,9284.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
144,donna.claypool,stephen.lehmann,322,0,0,answered,0.0,0.0,423.0,0.0,8918.0,9288.0,431.0,440.0,Lon-Site,Lon-Site,TG0,TG0
145,donna.claypool,heather.mcbain,807,16,487,ringing,,,,,,,,,Lon-Site,Fran-Site,TG0,TG6
146,donna.claypool,charlene.mollette,526,16,0,answered,0.0,0.0,183.0,0.0,9141.0,7146.0,437.0,366.0,Lon-Site,Fran-Site,TG0,TG6
147,gilbert.guers,stephen.lehmann,175,0,0,answered,21.0,0.0,7.0,0.0,5505.0,9284.0,284.0,440.0,Lon-Site,Lon-Site,TG0,TG0
148,+999601085614,+589573787442,86,0,0,answered,1.0,0.0,0.0,0.0,9288.0,9288.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
149,+589453327471,+81697156356,361,0,0,answered,0.0,0.0,2.0,0.0,9284.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
150,peggy.wilson,+779001804911,384,16,0,answered,0.0,1.0,0.0,0.0,9121.0,9284.0,436.0,440.0,Fran-Site,Lon-Site,TG2,es-trunk
151,anonymous,+24510675490,86,0,0,answered,0.0,0.0,0.0,0.0,9284.0,9288.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
152,anonymous,+24510675490,88,0,0,answered,0.0,0.0,0.0,0.0,9284.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
153,anonymous,+24510675490,117,0,0,answered,0.0,0.0,0.0,0.0,9277.0,9277.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
154,anonymous,+24510675490,83,0,0,answered,0.0,0.0,0.0,0.0,9284.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
155,anonymous,+24510675490,82,0,0,answered,0.0,0.0,0.0,0.0,9288.0,9292.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
156,anonymous,+24510675490,86,0,0,answered,0.0,0.0,0.0,0.0,9284.0,9288.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
157,anonymous,+24510675490,80,0,0,answered,0.0,0.0,0.0,0.0,9288.0,9288.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
158,gordon.bucher,dennis.kyle,209,0,0,answered,0.0,0.0,0.0,0.0,9320.0,9262.0,440.0,439.0,Fran-Site,Lon-Site,TG6,TG0
159,william.chandler,stephen.lehmann,106,0,0,answered,0.0,0.0,5.0,0.0,5418.0,9284.0,279.0,440.0,Lon-Site,Lon-Site,TG0,TG0
160,+41960206393,+12941199919,81,0,0,answered,1.0,0.0,0.0,0.0,9281.0,9288.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
161,rosalyn.gonzalez,stephen.lehmann,177,0,0,answered,0.0,0.0,0.0,0.0,9274.0,9281.0,440.0,440.0,Fran-Site,Lon-Site,TG5,TG0
162,lorraine.collins,dennis.kyle,98,0,0,answered,3.0,5.0,0.0,0.0,9284.0,6308.0,439.0,323.0,Lon-Site,Lon-Site,TG2,TG0
163,+46253260460,+79538260992,85,0,0,answered,1.0,0.0,0.0,0.0,9284.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
164,nancy.banks,stephen.lehmann,182,0,0,answered,0.0,0.0,4.0,0.0,5394.0,9284.0,278.0,440.0,Lon-Site,Lon-Site,TG0,TG0
165,edward.lotz,stephen.lehmann,160,0,0,answered,5.0,0.0,14.0,1.0,5251.0,9288.0,270.0,440.0,Lon-Site,Lon-Site,TG0,TG0
166,+26118657448,+12941199919,89,0,0,answered,0.0,0.0,0.0,0.0,9288.0,9288.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
167,+26118657448,+12941199919,367,0,0,answered,0.0,0.0,0.0,0.0,9288.0,9288.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
168,+52058461628,+99617961076,76,0,0,answered,0.0,0.0,0.0,0.0,9284.0,9284.0,440.0,440.0,Lon-Site,Lon-Site,eu-trunk,TG0
169,burt.maia,stephen.lehmann,294,0,0,answered,0.0,0.0,0.0,0.0,9320.0,9323.0,440.0,440.0,Lon-Site,Lon-Site,TG4,TG0
170,burt.maia,stephen.lehmann,293,0,0,answered,0.0,0.0,0.0,1.0,9288.0,9292.0,440.0,440.0,Lon-Site,Lon-Site,TG4,TG0
